Frame: 1, ID: 0, Speed: 0.0 km/h
Frame: 2, ID: 0, Speed: 0.0 km/h
Frame: 3, ID: 0, Speed: 0.1 km/h
Frame: 4, ID: 0, Speed: 0.2 km/h
Frame: 5, ID: 0, Speed: 0.4 km/h
Frame: 6, ID: 0, Speed: 0.7 km/h
Frame: 7, ID: 0, Speed: 0.6 km/h
Frame: 8, ID: 0, Speed: 0.7 km/h
Frame: 8, ID: 1, Speed: 19.9 km/h
Frame: 9, ID: 0, Speed: 0.7 km/h
Frame: 9, ID: 1, Speed: 18.6 km/h
Frame: 10, ID: 0, Speed: 0.7 km/h
Frame: 10, ID: 1, Speed: 21.2 km/h
Frame: 11, ID: 0, Speed: 0.7 km/h
Frame: 11, ID: 1, Speed: 21.0 km/h
Frame: 12, ID: 0, Speed: 0.9 km/h
Frame: 12, ID: 1, Speed: 23.9 km/h
Frame: 13, ID: 0, Speed: 1.0 km/h
Frame: 13, ID: 1, Speed: 22.7 km/h
Frame: 14, ID: 0, Speed: 1.1 km/h
Frame: 14, ID: 1, Speed: 21.5 km/h
Frame: 15, ID: 0, Speed: 1.4 km/h
Frame: 15, ID: 1, Speed: 22.0 km/h
Frame: 16, ID: 0, Speed: 1.4 km/h
Frame: 16, ID: 1, Speed: 22.6 km/h
Frame: 17, ID: 0, Speed: 1.4 km/h
Frame: 17, ID: 1, Speed: 21.6 km/h
Frame: 18, ID: 0, Speed: 1.4 km/h
Frame: 18, ID: 1, Speed: 21.1 km/h
Frame: 19, ID: 0, Speed: 1.4 km/h
Frame: 19, ID: 1, Speed: 20.3 km/h
Frame: 20, ID: 0, Speed: 1.3 km/h
Frame: 20, ID: 1, Speed: 19.5 km/h
Frame: 21, ID: 0, Speed: 1.3 km/h
Frame: 21, ID: 1, Speed: 19.0 km/h
Frame: 22, ID: 0, Speed: 1.4 km/h
Frame: 22, ID: 1, Speed: 18.5 km/h
Frame: 23, ID: 0, Speed: 1.5 km/h
Frame: 23, ID: 1, Speed: 18.0 km/h
Frame: 24, ID: 0, Speed: 1.5 km/h
Frame: 24, ID: 1, Speed: 17.5 km/h
Frame: 25, ID: 0, Speed: 1.5 km/h
Frame: 25, ID: 1, Speed: 16.9 km/h
Frame: 25, ID: 5, Speed: 0.4 km/h
Frame: 26, ID: 1, Speed: 16.7 km/h
Frame: 26, ID: 5, Speed: 0.4 km/h
Frame: 27, ID: 1, Speed: 16.2 km/h
Frame: 27, ID: 4, Speed: 3.5 km/h
Frame: 28, ID: 1, Speed: 15.6 km/h
Frame: 28, ID: 4, Speed: 3.0 km/h
Frame: 29, ID: 1, Speed: 15.6 km/h
Frame: 29, ID: 4, Speed: 3.2 km/h
Frame: 30, ID: 1, Speed: 14.3 km/h
Frame: 30, ID: 4, Speed: 3.5 km/h
Frame: 31, ID: 1, Speed: 14.1 km/h
Frame: 31, ID: 4, Speed: 3.5 km/h
Frame: 32, ID: 1, Speed: 12.6 km/h
Frame: 32, ID: 4, Speed: 3.4 km/h
Frame: 33, ID: 1, Speed: 12.4 km/h
Frame: 33, ID: 4, Speed: 3.1 km/h
Frame: 34, ID: 1, Speed: 12.3 km/h
Frame: 34, ID: 4, Speed: 3.2 km/h
Frame: 35, ID: 1, Speed: 11.4 km/h
Frame: 35, ID: 4, Speed: 3.0 km/h
Frame: 36, ID: 1, Speed: 11.4 km/h
Frame: 36, ID: 4, Speed: 2.9 km/h
Frame: 36, ID: 6, Speed: 6.8 km/h
Frame: 37, ID: 4, Speed: 2.9 km/h
Frame: 37, ID: 6, Speed: 6.8 km/h
Frame: 38, ID: 4, Speed: 2.9 km/h
Frame: 39, ID: 4, Speed: 3.0 km/h
Frame: 40, ID: 4, Speed: 3.2 km/h
Frame: 40, ID: 6, Speed: 7.2 km/h
Frame: 41, ID: 4, Speed: 3.3 km/h
Frame: 41, ID: 6, Speed: 7.3 km/h
Frame: 42, ID: 4, Speed: 3.3 km/h
Frame: 42, ID: 6, Speed: 6.6 km/h
Frame: 42, ID: 7, Speed: 2.8 km/h
Frame: 43, ID: 4, Speed: 3.3 km/h
Frame: 43, ID: 6, Speed: 6.9 km/h
Frame: 43, ID: 7, Speed: 2.8 km/h
Frame: 44, ID: 4, Speed: 3.6 km/h
Frame: 44, ID: 6, Speed: 7.2 km/h
Frame: 44, ID: 7, Speed: 2.7 km/h
Frame: 44, ID: 8, Speed: 3.5 km/h
Frame: 45, ID: 4, Speed: 3.6 km/h
Frame: 45, ID: 6, Speed: 7.6 km/h
Frame: 45, ID: 7, Speed: 2.5 km/h
Frame: 45, ID: 8, Speed: 2.9 km/h
Frame: 46, ID: 4, Speed: 3.5 km/h
Frame: 46, ID: 6, Speed: 7.2 km/h
Frame: 46, ID: 7, Speed: 2.2 km/h
Frame: 46, ID: 8, Speed: 2.7 km/h
Frame: 47, ID: 4, Speed: 3.3 km/h
Frame: 47, ID: 6, Speed: 7.2 km/h
Frame: 47, ID: 7, Speed: 2.2 km/h
Frame: 47, ID: 8, Speed: 2.3 km/h
Frame: 48, ID: 4, Speed: 3.4 km/h
Frame: 48, ID: 7, Speed: 2.2 km/h
Frame: 48, ID: 8, Speed: 2.1 km/h
Frame: 48, ID: 10, Speed: 2.1 km/h
Frame: 49, ID: 4, Speed: 3.3 km/h
Frame: 49, ID: 7, Speed: 2.3 km/h
Frame: 49, ID: 8, Speed: 1.8 km/h
Frame: 49, ID: 10, Speed: 2.2 km/h
Frame: 50, ID: 4, Speed: 3.1 km/h
Frame: 50, ID: 7, Speed: 2.2 km/h
Frame: 50, ID: 8, Speed: 1.7 km/h
Frame: 50, ID: 10, Speed: 2.7 km/h
Frame: 51, ID: 4, Speed: 3.2 km/h
Frame: 51, ID: 7, Speed: 2.3 km/h
Frame: 51, ID: 8, Speed: 1.6 km/h
Frame: 51, ID: 10, Speed: 2.7 km/h
Frame: 52, ID: 4, Speed: 3.2 km/h
Frame: 52, ID: 7, Speed: 2.3 km/h
Frame: 52, ID: 8, Speed: 1.6 km/h
Frame: 52, ID: 10, Speed: 3.8 km/h
Frame: 53, ID: 0, Speed: 2.1 km/h
Frame: 53, ID: 7, Speed: 2.5 km/h
Frame: 53, ID: 8, Speed: 1.6 km/h
Frame: 53, ID: 10, Speed: 3.9 km/h
Frame: 54, ID: 0, Speed: 2.5 km/h
Frame: 54, ID: 7, Speed: 2.6 km/h
Frame: 54, ID: 8, Speed: 1.5 km/h
Frame: 54, ID: 10, Speed: 4.6 km/h
Frame: 55, ID: 0, Speed: 2.5 km/h
Frame: 55, ID: 4, Speed: 3.7 km/h
Frame: 55, ID: 7, Speed: 2.5 km/h
Frame: 55, ID: 8, Speed: 1.5 km/h
Frame: 55, ID: 10, Speed: 4.4 km/h
Frame: 56, ID: 4, Speed: 3.8 km/h
Frame: 56, ID: 7, Speed: 2.5 km/h
Frame: 56, ID: 10, Speed: 4.1 km/h
Frame: 57, ID: 4, Speed: 3.9 km/h
Frame: 57, ID: 7, Speed: 2.5 km/h
Frame: 57, ID: 10, Speed: 3.9 km/h
Frame: 58, ID: 4, Speed: 4.0 km/h
Frame: 58, ID: 7, Speed: 2.5 km/h
Frame: 58, ID: 10, Speed: 3.9 km/h
Frame: 59, ID: 4, Speed: 4.2 km/h
Frame: 59, ID: 7, Speed: 2.4 km/h
Frame: 59, ID: 8, Speed: 1.5 km/h
Frame: 59, ID: 10, Speed: 4.0 km/h
Frame: 60, ID: 4, Speed: 4.2 km/h
Frame: 60, ID: 7, Speed: 2.5 km/h
Frame: 60, ID: 8, Speed: 1.5 km/h
Frame: 60, ID: 10, Speed: 4.0 km/h
Frame: 61, ID: 4, Speed: 4.2 km/h
Frame: 61, ID: 7, Speed: 2.4 km/h
Frame: 61, ID: 8, Speed: 1.4 km/h
Frame: 61, ID: 10, Speed: 3.8 km/h
Frame: 62, ID: 4, Speed: 4.2 km/h
Frame: 62, ID: 7, Speed: 2.4 km/h
Frame: 62, ID: 8, Speed: 1.5 km/h
Frame: 62, ID: 10, Speed: 3.8 km/h
Frame: 63, ID: 4, Speed: 4.4 km/h
Frame: 63, ID: 7, Speed: 2.4 km/h
Frame: 63, ID: 8, Speed: 1.6 km/h
Frame: 63, ID: 10, Speed: 3.8 km/h
Frame: 64, ID: 4, Speed: 4.3 km/h
Frame: 64, ID: 7, Speed: 2.4 km/h
Frame: 64, ID: 8, Speed: 1.6 km/h
Frame: 64, ID: 10, Speed: 3.7 km/h
Frame: 65, ID: 4, Speed: 4.3 km/h
Frame: 65, ID: 7, Speed: 2.5 km/h
Frame: 65, ID: 8, Speed: 1.4 km/h
Frame: 65, ID: 10, Speed: 3.6 km/h
Frame: 66, ID: 7, Speed: 2.6 km/h
Frame: 66, ID: 8, Speed: 1.4 km/h
Frame: 66, ID: 10, Speed: 3.6 km/h
Frame: 67, ID: 7, Speed: 2.7 km/h
Frame: 67, ID: 8, Speed: 1.4 km/h
Frame: 67, ID: 10, Speed: 3.6 km/h
Frame: 68, ID: 4, Speed: 4.8 km/h
Frame: 68, ID: 7, Speed: 2.7 km/h
Frame: 68, ID: 8, Speed: 1.3 km/h
Frame: 68, ID: 10, Speed: 3.8 km/h
Frame: 69, ID: 4, Speed: 5.0 km/h
Frame: 69, ID: 7, Speed: 2.6 km/h
Frame: 69, ID: 8, Speed: 1.4 km/h
Frame: 69, ID: 10, Speed: 3.7 km/h
Frame: 70, ID: 4, Speed: 5.3 km/h
Frame: 70, ID: 7, Speed: 2.7 km/h
Frame: 70, ID: 8, Speed: 1.3 km/h
Frame: 70, ID: 10, Speed: 3.6 km/h
Frame: 71, ID: 4, Speed: 5.7 km/h
Frame: 71, ID: 7, Speed: 2.7 km/h
Frame: 71, ID: 8, Speed: 1.3 km/h
Frame: 71, ID: 10, Speed: 3.5 km/h
